Unnamed: 0,index,Bacteria,NP_Synthesis,Drug,Drug_class_drug_bank,Drug_dose,NP_concentration,NP size_min,NP size_max,shape,method,ZOI_drug,ZOI_NP,fold_increase_in_antibacterial_activity (%),MDR_check,NP_Synthesis_Chem,Tax_id,genus,species,gram,"min_Incub_period, h","growth_temp, C",isolated_from,MolWt,MolLogP,fr_lactam,fr_lactone,NumAliphaticRings,NumAromaticHeterocycles,d_to_Micrococcus luteus,d_to_Staphylococcus aureus,d_to_Candida albicans
638,4,Micrococcus luteus,green_synthesis from fungus  Aspergillus flavus,Vancomycin,Carboxylic acids and derivatives,30.0,100.0,5.0,30.0,spherical,disc_diffusion,0.0,14.0,7.02,1,0,['1270'],Micrococcus,Micrococcus luteus,p,240.0,30,soil,1449.2710000000004,0.10620000000000512,0.0,0.0,7.0,0.0,0,12,18
639,5,Micrococcus luteus,green_synthesis from fungus  Aspergillus flavus,Gentamicin,Aminoglycosides,10.0,100.0,5.0,30.0,spherical,disc_diffusion,0.0,14.0,7.02,1,0,['1270'],Micrococcus,Micrococcus luteus,p,240.0,30,soil,477.60300000000035,-3.327499999999995,0.0,0.0,3.0,0.0,0,12,18
300,6,Staphylococcus aureus,green_synthesis using Dioscorea bulbifera tuber extract ,Ceftazidime,Lactams,500.0,30.0,8.0,20.0,nanorods and triangles,disc_diffusion,12.0,,0.6,0,0,['1280'],Staphylococcus,Staphylococcus aureus,p,24.0,37,skin,546.5870000000002,-1.2991999999999946,1.0,0.0,2.0,2.0,12,0,18
764,7,Staphylococcus epidermidis,chem_synthesis by silver nitrate,Gentamicin,Aminoglycosides,,,20.0,40.0,spherical,MIC,500.0,,,1,1,['1282'],Staphylococcus,Staphylococcus epidermidis,p,24.0,37,nose,477.60300000000035,-3.327499999999995,0.0,0.0,3.0,0.0,12,2,18
432,8,Neisseria mucosa,green_synthesis using Dioscorea bulbifera tuber extract ,Ampicillin,Lactams,500.0,30.0,8.0,20.0,nanorods and triangles,disc_diffusion,22.0,,4.2,0,0,['488'],Neisseria,Neisseria mucosa,n,24.0,30,sputum,349.4120000000001,0.3181000000000002,1.0,0.0,2.0,0.0,14,14,18
488,9,Neisseria mucosa,green_synthesis using Dioscorea bulbifera tuber extract ,Penicillin,Carboxylic acids and derivatives,500.0,30.0,8.0,20.0,nanorods and triangles,disc_diffusion,46.0,,0.1,0,0,['488'],Neisseria,Neisseria mucosa,n,24.0,30,sputum,372.4870000000001,-3.4698999999999973,1.0,0.0,2.0,0.0,14,14,18
490,10,Neisseria mucosa,green_synthesis using Dioscorea bulbifera tuber extract ,Faropenem,Carboxylic acids and derivatives,500.0,30.0,8.0,20.0,nanorods and triangles,disc_diffusion,48.0,,0.0,0,0,['488'],Neisseria,Neisseria mucosa,n,24.0,30,sputum,285.32099999999997,0.3736999999999999,1.0,0.0,3.0,0.0,14,14,18
489,11,Neisseria mucosa,green_synthesis using Dioscorea bulbifera tuber extract ,Ceftriaxone,Lactams,500.0,30.0,8.0,20.0,nanorods and triangles,disc_diffusion,47.0,,0.0,0,0,['488'],Neisseria,Neisseria mucosa,n,24.0,30,sputum,554.592,-1.198999999999999,1.0,0.0,2.0,2.0,14,14,18
487,12,Neisseria mucosa,green_synthesis using Dioscorea bulbifera tuber extract ,Rifampicin,Macrolactams,500.0,30.0,8.0,20.0,nanorods and triangles,disc_diffusion,44.0,,0.0,0,0,['488'],Neisseria,Neisseria mucosa,n,24.0,30,sputum,822.9530000000003,4.335420000000004,0.0,0.0,4.0,0.0,14,14,18
479,13,Neisseria mucosa,green_synthesis using Dioscorea bulbifera tuber extract ,Gentamicin,Aminoglycosides,500.0,30.0,8.0,20.0,nanorods and triangles,disc_diffusion,30.0,,1.0,0,0,['488'],Neisseria,Neisseria mucosa,n,24.0,30,sputum,477.60300000000035,-3.327499999999995,0.0,0.0,3.0,0.0,14,14,18
140,14,Escherichia coli,green_synthesis using Ulva fasciata ,Azithromycin,"
Organooxygen compounds",15.0,42.5,14.45,15.55,spherical,disc_diffusion,28.0,,,0,0,['562'],Escherichia,Escherichia coli,n,48.0,37,urine,748.9960000000001,1.9007000000000054,0.0,1.0,3.0,0.0,14,14,18
