,Drug_dose,NP_concentration,NP size_min,NP size_max,shape,ZOI_drug,ZOI_drug_NP,MDR_check,NP_Synthesis_Chem,NP_Synthesis_Green,NP_Synthesis_Bio,gram,"min_Incub_period, h",biosafety_level,MolLogP,fr_lactam,NumAromaticHeterocycles,d_to_Micrococcus luteus,d_to_Neisseria mucosa,d_to_Candida albicans
0,30.0,100.0,5.0,30.0,0.0,0.0,17.0,1.0,0.0,0.0,1.0,1.0,240.0,1.0,0.10620000000000603,0.0,0.0,0.0,14.0,18.0
1,10.0,100.0,5.0,30.0,0.0,0.0,17.0,1.0,0.0,0.0,1.0,1.0,240.0,1.0,-3.327499999999995,0.0,0.0,0.0,14.0,18.0
2,500.0,30.000000000000004,8.0,20.0,1.0,12.0,15.0,0.0,0.0,1.0,0.0,1.0,24.0,2.0,-1.2991999999999955,1.0,2.0,12.0,14.0,18.0
3,500.0,30.000000000000004,8.0,20.0,1.0,22.0,50.00000000000001,0.0,0.0,1.0,0.0,-1.0,24.0,2.0,0.31810000000000016,1.0,0.0,14.0,0.0,18.0
4,500.0,30.000000000000004,8.0,20.0,1.0,46.0,48.0,0.0,0.0,1.0,0.0,-1.0,24.0,2.0,-3.469899999999997,1.0,0.0,14.0,0.0,18.0
5,500.0,30.000000000000004,8.0,20.0,1.0,48.0,48.0,0.0,0.0,1.0,0.0,-1.0,24.0,2.0,0.3736999999999991,1.0,0.0,14.0,0.0,18.0
6,500.0,30.000000000000004,8.0,20.0,1.0,47.0,47.0,0.0,0.0,1.0,0.0,-1.0,24.0,2.0,-1.1989999999999987,1.0,2.0,14.0,0.0,18.0
7,500.0,30.000000000000004,8.0,20.0,1.0,44.0,44.0,0.0,0.0,1.0,0.0,-1.0,24.0,2.0,4.335420000000004,0.0,0.0,14.0,0.0,18.0
8,500.0,30.000000000000004,8.0,20.0,1.0,30.0,42.0,0.0,0.0,1.0,0.0,-1.0,24.0,2.0,-3.327499999999995,0.0,0.0,14.0,0.0,18.0
9,15.0,42.5,14.449999999999998,15.55,0.0,27.999999999999996,41.00000000000001,0.0,0.0,0.0,1.0,-1.0,48.0,2.0,1.900700000000005,0.0,0.0,14.0,10.0,18.0
10,30.0,42.33,14.449999999999998,15.55,0.0,27.0,40.00000000000001,0.0,0.0,0.0,1.0,-1.0,12.0,2.0,0.909,0.0,0.0,14.0,10.0,18.0
11,15.0,42.15,14.449999999999998,15.55,0.0,27.0,40.00000000000001,0.0,0.0,0.0,1.0,1.0,24.0,2.0,1.900700000000005,0.0,0.0,12.0,14.0,18.0
12,30.0,42.24,14.449999999999998,15.55,0.0,32.0,40.00000000000001,0.0,0.0,0.0,1.0,1.0,24.0,2.0,-1.2435999999999965,0.0,0.0,12.0,14.0,18.0
13,500.0,30.000000000000004,8.0,20.0,1.0,40.0,40.00000000000001,0.0,0.0,1.0,0.0,-1.0,24.0,2.0,0.023700000000000557,1.0,0.0,14.0,0.0,18.0
14,500.0,30.000000000000004,8.0,20.0,1.0,40.0,40.00000000000001,0.0,0.0,1.0,0.0,-1.0,24.0,2.0,-0.24029999999999746,1.0,0.0,14.0,0.0,18.0
15,500.0,30.000000000000004,8.0,20.0,1.0,30.0,39.0,0.0,0.0,1.0,0.0,1.0,0.16,1.0,-0.21439999999999926,0.0,0.0,12.0,14.0,18.0
16,10.0,100.0,5.0,30.0,0.0,23.0,38.0,0.0,0.0,0.0,1.0,1.0,4.0,2.0,1.5833000000000002,0.0,1.0,12.0,14.0,18.0
17,20.0,42.2,14.449999999999998,15.55,0.0,24.999999999999996,38.0,0.0,0.0,0.0,1.0,1.0,24.0,2.0,0.31810000000000016,1.0,0.0,12.0,14.0,18.0
18,500.0,30.000000000000004,8.0,20.0,1.0,34.0,38.0,0.0,0.0,1.0,0.0,-1.0,24.0,2.0,-0.21439999999999926,0.0,0.0,14.0,0.0,18.0
19,30.0,42.11,14.449999999999998,15.55,0.0,0.0,37.0,1.0,0.0,0.0,1.0,-1.0,48.0,2.0,-0.5359999999999981,1.0,1.0,14.0,10.0,18.0
20,500.0,30.000000000000004,8.0,20.0,1.0,26.0,37.0,0.0,0.0,1.0,0.0,1.0,0.16,1.0,-8.161100000000008,0.0,0.0,12.0,14.0,18.0
21,2.0,10.0,5.0,32.0,0.0,37.0,37.0,0.0,0.0,0.0,1.0,-1.0,48.0,2.0,2.6236200000000003,0.0,2.0,14.0,10.0,18.0
22,1.0,42.27,14.449999999999998,15.55,0.0,0.0,36.0,1.0,0.0,0.0,1.0,-1.0,12.0,2.0,1.8953200000000003,1.0,1.0,14.0,10.0,18.0
23,30.0,42.13,14.449999999999998,15.55,0.0,27.0,36.0,0.0,0.0,0.0,1.0,-1.0,48.0,2.0,0.909,0.0,0.0,14.0,10.0,18.0
24,10.0,10.0,5.0,40.0,0.0,29.0,36.0,0.0,0.0,0.0,1.0,-1.0,168.0,2.0,0.909,0.0,0.0,14.0,10.0,18.0
25,10.0,10.0,5.0,40.0,0.0,29.0,36.0,0.0,0.0,0.0,1.0,-1.0,168.0,2.0,0.909,0.0,0.0,14.0,10.0,18.0
26,2.0,10.0,5.0,32.0,0.0,36.0,36.0,0.0,0.0,0.0,1.0,1.0,24.0,2.0,2.6236200000000003,0.0,2.0,12.0,14.0,18.0
27,30.0,42.34,14.449999999999998,15.55,0.0,20.0,35.00000000000001,0.0,0.0,0.0,1.0,-1.0,12.0,2.0,-1.2435999999999965,0.0,0.0,14.0,10.0,18.0
28,10.0,100.0,5.0,30.0,0.0,22.0,35.00000000000001,0.0,0.0,0.0,1.0,-1.0,24.0,2.0,1.5833000000000002,0.0,1.0,14.0,10.0,18.0
29,40.0,42.8,14.449999999999998,15.55,0.0,0.0,34.00000000000001,1.0,0.0,0.0,1.0,-1.0,48.0,2.0,-4.953199999999996,1.0,1.0,14.0,10.0,18.0
30,50.0,42.32,14.449999999999998,15.55,0.0,0.0,34.00000000000001,1.0,0.0,0.0,1.0,-1.0,12.0,2.0,-0.09110000000000038,0.0,0.0,14.0,10.0,18.0
31,500.0,30.000000000000004,8.0,20.0,1.0,20.0,34.00000000000001,0.0,0.0,1.0,0.0,1.0,0.16,1.0,0.31810000000000016,1.0,0.0,12.0,14.0,18.0
32,30.0,42.23,14.449999999999998,15.55,0.0,29.0,34.00000000000001,0.0,0.0,0.0,1.0,1.0,24.0,2.0,0.909,0.0,0.0,12.0,14.0,18.0
33,500.0,30.000000000000004,8.0,20.0,1.0,34.0,34.00000000000001,0.0,0.0,1.0,0.0,-1.0,24.0,2.0,-1.172299999999999,0.0,0.0,14.0,0.0,18.0
34,500.0,30.000000000000004,8.0,20.0,1.0,34.0,34.00000000000001,0.0,0.0,1.0,0.0,1.0,0.16,1.0,0.3736999999999991,1.0,0.0,12.0,14.0,18.0
35,50.0,42.12,14.449999999999998,15.55,0.0,0.0,32.0,1.0,0.0,0.0,1.0,-1.0,48.0,2.0,-0.09110000000000038,0.0,0.0,14.0,10.0,18.0
36,15.0,42.25,14.449999999999998,15.55,0.0,20.0,32.0,0.0,0.0,0.0,1.0,-1.0,12.0,2.0,1.900700000000005,0.0,0.0,14.0,10.0,18.0
37,500.0,30.000000000000004,8.0,20.0,1.0,24.0,32.0,0.0,0.0,1.0,0.0,1.0,0.16,1.0,0.909,0.0,0.0,12.0,14.0,18.0
38,500.0,30.000000000000004,8.0,20.0,1.0,24.0,32.0,0.0,0.0,1.0,0.0,-1.0,24.0,2.0,-8.161100000000008,0.0,0.0,14.0,10.0,18.0
39,20.0,42.1,14.449999999999998,15.55,0.0,30.0,32.0,0.0,0.0,0.0,1.0,-1.0,48.0,2.0,0.31810000000000016,1.0,0.0,14.0,10.0,18.0
40,500.0,30.000000000000004,8.0,20.0,1.0,32.0,32.0,0.0,0.0,1.0,0.0,-1.0,24.0,2.0,-1.2991999999999955,1.0,2.0,14.0,0.0,18.0
41,500.0,30.000000000000004,8.0,20.0,1.0,32.0,32.0,0.0,0.0,1.0,0.0,-1.0,24.0,2.0,0.909,0.0,0.0,14.0,0.0,18.0
