,Unnamed: 0,Bacteria,NP_Synthesis,Drug,Drug_class_drug_bank,Drug_dose,NP_concentration,NP size_min,NP size_max,NP size_avg,shape,method,ZOI_drug,ZOI_NP,ZOI_drug_NP,fold_increase_in_antibacterial_activity (%),MDR_check
0,86,Escherichia coli,chem_synthesis_reduction_by_D_maltose,Amoxicillin,Lactams,,,4.0,10.0,8.0,spherical,MIC,32+,6.3,32+,,1
1,87,Escherichia coli,chem_synthesis_reduction_by_D_maltose,Penicillin,Carboxylic acids and derivatives,,,4.0,10.0,8.0,spherical,MIC,32+,6.3,32+,,1
2,679,Escherichia coli,chem_synthesis_reduction_by_D_maltose,Amoxicillin,Lactams,,,15.0,30.0,28.0,spherical,MIC,32+,25,32+,,1
3,680,Escherichia coli,chem_synthesis_reduction_by_D_maltose,Penicillin,Carboxylic acids and derivatives,,,15.0,30.0,28.0,spherical,MIC,32+,25,32+,,1
4,638,Micrococcus luteus,green_synthesis from fungus  Aspergillus flavus,Vancomycin,Carboxylic acids and derivatives,30.0,100,5.0,30.0,21.0,spherical,disc_diffusion,0,14,17+2,7.02,1
5,639,Micrococcus luteus,green_synthesis from fungus  Aspergillus flavus,Gentamicin,Aminoglycosides,10.0,100,5.0,30.0,21.0,spherical,disc_diffusion,0,14,17+2,7.02,1
6,300,Staphylococcus aureus,green_synthesis using Dioscorea bulbifera tuber extract ,Ceftazidime,Lactams,500.0,30,8.0,20.0,13.5,nanorods and triangles,disc_diffusion,12,,15,0.6,0
7,764,Staphylococcus epidermidis,chem_synthesis by silver nitrate,Gentamicin,Aminoglycosides,,,20.0,40.0,30.0,spherical,MIC,500,,62.5,,1
8,432,Neisseria mucosa,green_synthesis using Dioscorea bulbifera tuber extract ,Ampicillin,Lactams,500.0,30,8.0,20.0,13.5,nanorods and triangles,disc_diffusion,22,,50,4.2,0
9,488,Neisseria mucosa,green_synthesis using Dioscorea bulbifera tuber extract ,Penicillin,Carboxylic acids and derivatives,500.0,30,8.0,20.0,13.5,nanorods and triangles,disc_diffusion,46,,48,0.1,0
10,490,Neisseria mucosa,green_synthesis using Dioscorea bulbifera tuber extract ,Faropenem,Carboxylic acids and derivatives,500.0,30,8.0,20.0,13.5,nanorods and triangles,disc_diffusion,48,,48,0.0,0
11,489,Neisseria mucosa,green_synthesis using Dioscorea bulbifera tuber extract ,Ceftriaxone,Lactams,500.0,30,8.0,20.0,13.5,nanorods and triangles,disc_diffusion,47,,47,0.0,0
12,487,Neisseria mucosa,green_synthesis using Dioscorea bulbifera tuber extract ,Rifampicin,Macrolactams,500.0,30,8.0,20.0,13.5,nanorods and triangles,disc_diffusion,44,,44,0.0,0
13,479,Neisseria mucosa,green_synthesis using Dioscorea bulbifera tuber extract ,Gentamicin,Aminoglycosides,500.0,30,8.0,20.0,13.5,nanorods and triangles,disc_diffusion,30,,42,1.0,0
14,140,Escherichia coli,green_synthesis using Ulva fasciata ,Azithromycin,"
Organooxygen compounds",15.0,170/85/42.5,14.45,15.55,15.0,spherical,disc_diffusion,28,,41,,0
15,138,Salmonella enterica,green_synthesis using Ulva fasciata ,Chloramphenicol,Benzene and substituted derivatives,30.0,170/85/42.33,14.45,15.55,15.0,spherical,disc_diffusion,27,,40,,0
16,139,Staphylococcus aureus,green_synthesis using Ulva fasciata ,Azithromycin,"
Organooxygen compounds",15.0,170/85/42.15,14.45,15.55,15.0,spherical,disc_diffusion,27,,40,,0
17,145,Staphylococcus aureus,green_synthesis using Ulva fasciata ,Oxytetracycline,"
Tetracyclines",30.0,170/85/42.24,14.45,15.55,15.0,spherical,disc_diffusion,32,,40,,0
18,485,Neisseria mucosa,green_synthesis using Dioscorea bulbifera tuber extract ,Amoxicillin,Lactams,500.0,30,8.0,20.0,13.5,nanorods and triangles,disc_diffusion,40,,40,0.0,0
19,486,Neisseria mucosa,green_synthesis using Dioscorea bulbifera tuber extract ,Piperacillin,Carboxylic acids and derivatives,500.0,30,8.0,20.0,13.5,nanorods and triangles,disc_diffusion,40,,40,0.0,0
20,478,Bacillus subtilis,green_synthesis using Dioscorea bulbifera tuber extract ,Tetracycline,Tetracyclines,500.0,30,8.0,20.0,13.5,nanorods and triangles,disc_diffusion,30,,39,0.7,0
21,659,Bacillus spp.        ,green_synthesis from fungus  Aspergillus flavus,ciprofloxacin,"
Quinolines and derivatives",10.0,100,5.0,30.0,21.0,spherical,disc_diffusion,23,15,38,1.73,0
22,134,Staphylococcus aureus,green_synthesis using Ulva fasciata ,Ampicillin,Lactams,20.0,170/85/42.20,14.45,15.55,15.0,spherical,disc_diffusion,25,,38,,0
23,484,Neisseria mucosa,green_synthesis using Dioscorea bulbifera tuber extract ,Tetracycline,Tetracyclines,500.0,30,8.0,20.0,13.5,nanorods and triangles,disc_diffusion,34,,38,0.2,0
24,125,Escherichia coli,green_synthesis using Ulva fasciata ,Cefuroxime,Lactams,30.0,170/85/42.11,14.45,15.55,15.0,spherical,disc_diffusion,0,,37,,1
25,467,Bacillus subtilis,green_synthesis using Dioscorea bulbifera tuber extract ,Streptomycin,Organooxygen compounds,500.0,30,8.0,20.0,13.5,nanorods and triangles,disc_diffusion,26,,37,0.1,0
26,708,Escherichia coli,green_synthesis by Klebsiella pneumoniae,Co-trimoxazole,Benzene and substituted derivatives; Phenol ethers,2.0,10,5.0,32.0,22.5,spherical,disc_diffusion,37,,37,0.0,0
27,124,Salmonella enterica,green_synthesis using Ulva fasciata ,Oxacillin,Carboxylic acids and derivatives,1.0,170/85/42.27,14.45,15.55,15.0,spherical,disc_diffusion,0,,36,,1
28,137,Escherichia coli,green_synthesis using Ulva fasciata ,Chloramphenicol,Benzene and substituted derivatives,30.0,170/85/42.13,14.45,15.55,15.0,spherical,disc_diffusion,27,,36,,0
29,724,Salmonella  typhi,green_synthesis  using fungus Trichoderma,Chloramphenicol,Benzene and substituted derivatives,10.0,10,5.0,40.0,13.0,spherical,disc_diffusion,29,,36,0.2414,0
30,744,Salmonella  typhi,green_synthesis from fungus Trichoderma viride,Chloramphenicol,Benzene and substituted derivatives,10.0,,5.0,40.0,18.0,spherical,disc_diffusion,29,,36,0.2424,0
31,707,Staphylococcus aureus,green_synthesis by Klebsiella pneumoniae,Co-trimoxazole,Benzene and substituted derivatives; Phenol ethers,2.0,10,5.0,32.0,22.5,spherical,disc_diffusion,36,,36,0.0,0
32,130,Salmonella enterica,green_synthesis using Ulva fasciata ,Oxytetracycline,"
Tetracyclines",30.0,170/85/42.34,14.45,15.55,15.0,spherical,disc_diffusion,20,,35,,0
33,657,Klebsiella pneumoniae,green_synthesis from fungus  Aspergillus flavus,ciprofloxacin,"
Quinolines and derivatives",10.0,100,5.0,30.0,21.0,spherical,disc_diffusion,22,14,35,1.53,0
34,122,Escherichia coli,green_synthesis using Ulva fasciata ,Cefotaxime,Lactams,40.0,170/85/42.8,14.45,15.55,15.0,spherical,disc_diffusion,0,,34,,1
35,123,Salmonella enterica,green_synthesis using Ulva fasciata ,Fosfomycin,"
Organic phosphonic acids and derivatives",50.0,170/85/42.32,14.45,15.55,15.0,spherical,disc_diffusion,0,,34,,1
36,416,Bacillus subtilis,green_synthesis using Dioscorea bulbifera tuber extract ,Ampicillin,Lactams,500.0,30,8.0,20.0,13.5,nanorods and triangles,disc_diffusion,20,,34,1.9,0
37,853,Pseudomonas aeruginosa,green_synthesis from fungus  Phytophthora infestans,mupirocin,Fatty Acyls,,,5.0,80.0,60.0,spherical,disc_diffusion,22,13,34,,0
38,858,Escherichia coli,green_synthesis from fungus  Phytophthora infestans,Neomycin,NC,,,5.0,80.0,60.0,spherical,disc_diffusion,25,15,34,,0
39,141,Staphylococcus aureus,green_synthesis using Ulva fasciata ,Chloramphenicol,Benzene and substituted derivatives,30.0,170/85/42.23,14.45,15.55,15.0,spherical,disc_diffusion,29,,34,,0
40,482,Neisseria mucosa,green_synthesis using Dioscorea bulbifera tuber extract ,Doxycycline,Tetracyclines,500.0,30,8.0,20.0,13.5,nanorods and triangles,disc_diffusion,34,,34,0.0,0
41,483,Bacillus subtilis,green_synthesis using Dioscorea bulbifera tuber extract ,Faropenem,Carboxylic acids and derivatives,500.0,30,8.0,20.0,13.5,nanorods and triangles,disc_diffusion,34,,34,0.0,0
42,121,Escherichia coli,green_synthesis using Ulva fasciata ,Fosfomycin,"
Organic phosphonic acids and derivatives",50.0,170/85/42.12,14.45,15.55,15.0,spherical,disc_diffusion,0,,32,,1
43,129,Salmonella enterica,green_synthesis using Ulva fasciata ,Azithromycin,"
Organooxygen compounds",15.0,170/85/42.25,14.45,15.55,15.0,spherical,disc_diffusion,20,,32,,0
44,851,Escherichia coli,green_synthesis from fungus  Phytophthora infestans,Gentamicin,Aminoglycosides,,,5.0,80.0,60.0,spherical,disc_diffusion,21,13,32,,0
45,452,Bacillus subtilis,green_synthesis using Dioscorea bulbifera tuber extract ,Chloramphenicol,Benzene and substituted derivatives,500.0,30,8.0,20.0,13.5,nanorods and triangles,disc_diffusion,24,,32,0.8,0
46,453,Pseudomonas aeruginosa,green_synthesis using Dioscorea bulbifera tuber extract ,Streptomycin,Organooxygen compounds,500.0,30,8.0,20.0,13.5,nanorods and triangles,disc_diffusion,24,,32,0.8,0
47,143,Escherichia coli,green_synthesis using Ulva fasciata ,Ampicillin,Lactams,20.0,170/85/42.10,14.45,15.55,15.0,spherical,disc_diffusion,30,,32,,0
48,859,Staphylococcus aureus,green_synthesis from fungus  Phytophthora infestans,mupirocin,Fatty Acyls,,,5.0,80.0,60.0,spherical,disc_diffusion,31,14,32,,0
49,480,Neisseria mucosa,green_synthesis using Dioscorea bulbifera tuber extract ,Ceftazidime,Lactams,500.0,30,8.0,20.0,13.5,nanorods and triangles,disc_diffusion,32,,32,0.0,0
50,481,Neisseria mucosa,green_synthesis using Dioscorea bulbifera tuber extract ,Chloramphenicol,Benzene and substituted derivatives,500.0,30,8.0,20.0,13.5,nanorods and triangles,disc_diffusion,32,,32,0.0,0
51,62,Escherichia coli,green_synthesis using extract of acinetobacter baumannii,Ceftazidime,Lactams,,,1.0,9.0,4.7,spherical,MIC,1000,64,32,,1
52,757,Staphylococcus epidermidis,chem_synthesis by silver nitrate,Gentamicin,Aminoglycosides,,,20.0,40.0,30.0,spherical,MIC,250,,31.25,,1
53,759,Staphylococcus epidermidis,chem_synthesis by silver nitrate,Gentamicin,Aminoglycosides,,,20.0,40.0,30.0,spherical,MIC,500,,31.25,,1
